class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,airport,car,restaurant,street,train,man,woman
0.21,0.902,0.562,0.698,0.851,0.568,0.737,0.37,0.507,0.397,0.708,0.208,0.535,1,0,0,0,0,1,0
0.804,0.734,0.48,0.793,0.598,0.505,0.584,0.659,0.626,0.395,0.551,0.517,0.629,1,0,0,0,0,1,0
0.447,0.779,0.51,0.428,0.801,0.62,0.738,0.414,0.839,0.273,0.681,0.447,0.453,1,0,0,0,0,1,0
0.321,0.899,0.605,0.476,0.817,0.647,0.662,0.325,0.42,0.475,0.643,0.686,0.592,1,0,0,0,0,1,0
0.517,0.928,0.533,0.327,0.971,0.49,0.647,0.41,0.766,0.357,0.788,0.486,0.439,1,0,0,0,0,1,0
0.121,1.0,0.453,0.572,0.878,0.325,0.624,0.366,0.736,0.0,0.813,0.236,1.0,1,0,0,0,0,1,0
0.146,0.946,0.55,0.307,0.917,0.412,0.476,0.0,0.978,0.219,0.872,0.551,0.502,1,0,0,0,0,1,0
0.724,0.659,0.633,0.592,0.617,0.818,0.434,0.423,0.411,0.471,0.776,0.356,0.284,1,0,0,0,0,1,0
0.09,0.779,0.681,0.419,0.859,0.577,0.616,0.418,0.778,0.16,1.0,0.34,0.458,1,0,0,0,0,1,0
0.785,0.72,0.22,0.475,0.802,0.503,0.587,0.792,0.569,0.775,0.388,0.694,0.377,1,0,0,0,0,1,0
0.495,0.647,0.642,0.899,0.53,0.45,0.567,0.279,0.811,0.566,0.749,0.319,0.475,1,0,0,0,0,1,0
0.781,0.705,0.621,0.289,0.781,0.58,0.72,0.533,0.884,0.502,0.669,0.717,0.567,1,0,0,0,0,1,0
0.445,0.794,0.633,0.439,0.718,0.568,0.673,0.328,0.92,0.282,0.962,0.565,0.65,1,0,0,0,0,1,0
0.733,0.605,0.732,0.667,0.427,0.539,0.771,0.616,0.472,0.605,0.55,0.282,0.396,1,0,0,0,0,1,0
0.546,0.709,0.824,0.224,0.668,0.216,0.914,0.384,0.735,1.0,0.528,0.954,0.503,1,0,0,0,0,1,0
0.909,0.587,0.442,0.432,0.708,0.857,0.812,0.402,0.941,0.319,0.258,0.632,0.117,1,0,0,0,0,0,1
0.624,0.686,0.35,0.26,0.709,0.64,0.885,0.494,0.944,0.399,0.362,0.324,0.348,1,0,0,0,0,0,1
0.795,0.666,0.564,0.739,0.699,0.705,0.562,0.567,0.71,0.684,0.401,0.234,0.554,1,0,0,0,0,0,1
0.608,0.639,0.422,0.751,0.563,0.655,0.558,0.611,0.817,0.698,0.436,0.168,0.47,1,0,0,0,0,0,1
0.453,0.554,0.472,0.438,0.635,0.595,0.732,0.477,0.65,0.489,0.399,0.322,0.409,1,0,0,0,0,0,1
0.519,0.635,0.522,0.557,0.678,0.493,0.658,0.525,0.665,0.678,0.065,0.482,0.533,1,0,0,0,0,0,1
0.409,0.618,0.342,0.332,0.735,0.552,0.642,0.732,0.871,0.991,0.361,0.108,0.538,1,0,0,0,0,0,1
0.407,0.659,0.177,0.317,0.89,0.368,0.746,0.74,0.792,0.897,0.679,0.239,0.514,1,0,0,0,0,0,1
0.706,0.628,0.54,0.39,0.614,0.521,0.769,0.642,0.471,0.949,0.416,0.511,0.606,1,0,0,0,0,0,1
0.595,0.616,0.245,0.66,0.764,0.559,0.834,0.695,0.786,0.753,0.419,0.179,0.548,1,0,0,0,0,0,1
0.654,0.695,0.67,0.29,0.965,0.627,0.73,0.559,0.554,0.638,0.764,0.308,0.603,1,0,0,0,0,0,1
0.58,0.732,0.345,0.248,0.756,0.65,0.553,0.501,0.811,0.561,0.61,0.513,0.392,1,0,0,0,0,0,1
0.585,0.602,0.539,0.243,0.609,0.785,0.654,0.551,0.727,0.582,0.297,0.481,0.359,1,0,0,0,0,0,1
0.546,0.615,0.54,0.255,0.796,0.815,0.725,0.566,0.416,0.575,0.385,0.486,0.221,1,0,0,0,0,0,1
0.419,0.619,0.739,0.18,0.605,0.682,0.918,0.477,0.614,0.602,0.375,0.641,0.523,1,0,0,0,0,0,1
0.425,0.581,0.711,0.801,0.668,0.605,0.685,0.56,0.567,0.599,0.349,0.435,0.378,0,1,0,0,0,1,0
0.936,0.64,0.459,0.673,0.437,0.689,0.675,0.804,0.429,0.349,0.551,0.615,0.613,0,1,0,0,0,1,0
0.845,0.571,0.575,0.468,0.687,0.765,0.827,0.699,0.538,0.383,0.379,0.738,0.394,0,1,0,0,0,1,0
0.512,0.766,0.574,0.627,0.683,0.662,0.708,0.535,0.543,0.303,0.391,0.682,0.563,0,1,0,0,0,1,0
0.68,0.806,0.478,0.372,0.725,0.588,0.752,0.529,0.61,0.219,0.594,0.625,0.54,0,1,0,0,0,1,0
0.562,0.835,0.459,0.609,0.702,0.55,0.77,0.544,0.78,0.095,0.477,0.448,0.83,0,1,0,0,0,1,0
0.627,0.901,0.443,0.321,0.804,0.601,0.685,0.472,0.953,0.284,0.573,0.627,0.583,0,1,0,0,0,1,0
0.846,0.605,0.643,0.758,0.52,0.76,0.591,0.689,0.423,0.252,0.475,0.391,0.419,0,1,0,0,0,1,0
0.569,0.754,0.629,0.55,0.768,0.665,0.759,0.686,0.743,0.185,0.675,0.476,0.49,0,1,0,0,0,1,0
