class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,airport,car,restaurant,street,train,man,woman
0.193,0.239,0.196,0.044,0.155,0.193,0.18,0.357,0.665,0.307,0.094,0.087,0.172,0.121,0.152,0.301,0.332,0.19,0.162,0.341,0.384,0.231,0.163,0.209,0.22,0.155,0.159,0.334,0.233,0.023,0.026,0.014,0.105,0.161,0.035,0.149,0.623,0.628,0.577,0.565,1,0,0,0,0,1,0
0.312,0.402,0.382,0.246,0.342,0.528,0.495,0.431,0.447,0.342,0.338,0.257,0.096,0.099,0.316,0.44,0.269,0.185,0.175,0.304,0.421,0.215,0.498,0.662,0.705,0.419,0.44,0.561,0.48,0.199,0.441,0.559,0.548,0.368,0.041,0.085,0.565,0.52,0.482,0.525,1,0,0,0,0,1,0
0.081,0.162,0.211,0.284,0.468,0.599,0.436,0.22,0.095,0.099,0.195,0.284,0.089,0.038,0.188,0.289,0.205,0.108,0.071,0.11,0.199,0.22,0.051,0.218,0.585,0.615,0.516,0.327,0.265,0.288,0.462,0.531,0.46,0.313,0.114,0.172,0.613,0.573,0.553,0.629,1,0,0,0,0,1,0
0.178,0.185,0.093,0.0,0.0,0.0,0.192,0.311,0.312,0.154,0.112,0.109,0.093,0.108,0.205,0.618,0.605,0.448,0.257,0.263,0.117,0.214,0.468,0.16,0.106,0.179,0.216,0.125,0.131,0.144,0.304,0.379,0.378,0.213,0.044,0.04,0.559,0.581,0.56,0.575,1,0,0,0,0,1,0
0.161,0.116,0.124,0.145,0.218,0.205,0.158,0.18,0.193,0.0,0.0,0.0,0.094,0.0,0.0,0.03,0.074,0.19,0.435,0.461,0.236,0.258,0.246,0.181,0.532,0.258,0.104,0.148,0.114,0.087,0.241,0.223,0.304,0.369,0.236,0.198,0.601,0.652,0.775,0.798,1,0,0,0,0,1,0
0.091,0.107,0.092,0.117,0.172,0.307,0.125,0.105,0.041,0.02,0.107,0.038,0.08,0.018,0.023,0.0,0.039,0.089,0.027,0.0,0.0,0.001,0.001,0.005,0.122,0.034,0.0,0.107,0.131,0.069,0.094,0.06,0.0,0.0,0.009,0.131,0.595,0.616,0.484,0.491,1,0,0,0,0,1,0
0.034,0.0,0.072,0.061,0.088,0.024,0.03,0.134,0.182,0.441,0.075,0.002,0.02,0.049,0.318,0.259,0.089,0.101,0.0,0.001,0.107,0.153,0.194,0.096,0.0,0.0,0.201,0.107,0.164,0.081,0.039,0.078,0.198,0.262,0.123,0.158,0.568,0.606,0.527,0.512,1,0,0,0,0,1,0
0.335,0.276,0.236,0.248,0.393,0.314,0.724,0.79,0.598,0.428,0.358,0.308,0.376,0.501,0.561,0.568,0.327,0.301,0.358,0.321,0.255,0.226,0.414,0.493,0.556,0.521,0.503,0.355,0.369,0.407,0.438,0.436,0.416,0.417,0.164,0.188,0.61,0.599,0.59,0.606,1,0,0,0,0,1,0
0.297,0.34,0.303,0.143,0.051,0.103,0.298,0.348,0.344,0.44,0.193,0.136,0.436,0.06,0.039,0.037,0.0,0.0,0.145,0.447,0.506,0.466,0.136,0.032,0.312,0.421,0.234,0.152,0.291,0.314,0.351,0.741,0.686,0.522,0.201,0.043,0.479,0.588,0.0,0.0,1,0,0,0,0,1,0
0.243,0.247,0.243,0.375,0.55,0.581,0.293,0.227,0.282,0.454,0.49,0.464,0.391,0.295,0.49,0.552,0.363,0.269,0.368,0.482,0.488,0.341,0.218,0.125,0.249,0.293,0.383,0.426,0.498,0.365,0.285,0.3,0.302,0.329,0.22,0.124,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0
0.0,0.023,0.067,0.307,0.471,0.475,0.153,0.299,0.315,0.496,0.807,0.774,0.463,0.202,0.257,0.347,0.276,0.233,0.155,0.359,0.474,0.401,0.402,0.261,0.424,0.502,0.556,0.489,0.424,0.26,0.234,0.207,0.272,0.247,0.124,0.167,0.6,0.0,0.0,0.0,1,0,0,0,0,1,0
0.275,0.254,0.281,0.409,0.409,0.251,0.36,0.574,0.374,0.447,0.532,0.447,0.415,0.327,0.286,0.295,0.339,0.428,0.294,0.297,0.24,0.161,0.165,0.182,0.266,0.281,0.356,0.44,0.424,0.2,0.274,0.287,0.354,0.41,0.257,0.184,0.645,0.624,0.575,0.62,1,0,0,0,0,1,0
0.118,0.072,0.0,0.118,0.24,0.192,0.235,0.336,0.347,0.428,0.541,0.181,0.0,0.059,0.259,0.385,0.282,0.17,0.165,0.304,0.367,0.244,0.238,0.18,0.197,0.186,0.244,0.299,0.377,0.295,0.326,0.429,0.453,0.278,0.097,0.17,0.606,0.655,0.63,0.606,1,0,0,0,0,1,0
0.21,0.19,0.278,0.305,0.375,0.406,0.323,0.38,0.459,0.633,0.556,0.419,0.253,0.168,0.292,0.543,0.59,0.651,0.393,0.462,0.618,0.83,0.911,0.77,0.476,0.371,0.426,0.642,0.906,0.782,0.612,0.275,0.207,0.168,0.036,0.407,0.805,0.699,0.595,0.575,1,0,0,0,0,1,0
0.252,0.178,0.176,0.353,0.396,0.334,0.086,0.0,0.056,0.141,0.258,0.308,0.27,0.397,0.466,0.491,0.269,0.288,0.241,0.226,0.194,0.359,0.41,0.442,0.641,0.736,0.913,0.496,0.342,0.283,0.308,0.193,0.279,0.416,0.43,0.445,0.647,0.567,0.591,0.607,1,0,0,0,0,1,0
0.253,0.213,0.168,0.191,0.291,0.607,0.598,0.539,0.441,0.481,0.57,0.463,0.467,0.546,0.632,0.646,0.585,0.644,0.59,0.537,0.387,0.293,0.178,0.093,0.271,0.359,0.383,0.365,0.42,0.357,0.346,0.459,0.681,0.741,0.732,0.598,0.683,0.645,0.63,0.628,1,0,0,0,0,0,1
0.233,0.315,0.254,0.178,0.237,0.282,0.255,0.242,0.258,0.324,0.26,0.076,0.077,0.116,0.226,0.372,0.367,0.594,0.72,0.926,0.696,0.339,0.386,0.462,0.638,0.536,0.387,0.467,0.498,0.249,0.197,0.281,0.473,0.529,0.373,0.192,0.575,0.541,0.528,0.552,1,0,0,0,0,0,1
0.126,0.166,0.34,0.612,0.661,0.451,0.398,0.459,0.488,0.549,0.37,0.258,0.236,0.184,0.31,0.542,0.515,0.497,0.193,0.5,0.786,0.699,0.606,0.425,0.321,0.319,0.504,0.585,0.655,0.454,0.287,0.295,0.353,0.425,0.337,0.267,0.651,0.678,0.649,0.627,1,0,0,0,0,0,1
0.1,0.136,0.124,0.269,0.465,0.448,0.456,0.262,0.464,0.811,0.654,0.38,0.378,0.419,0.402,0.402,0.272,0.306,0.255,0.352,0.36,0.062,0.0,0.092,0.218,0.395,0.521,0.591,0.606,0.42,0.372,0.413,0.561,0.655,0.611,0.631,0.823,0.658,0.55,0.571,1,0,0,0,0,0,1
0.32,0.262,0.153,0.15,0.286,0.347,0.307,0.345,0.399,0.428,0.333,0.477,0.495,0.324,0.298,0.384,0.316,0.402,0.667,0.811,0.425,0.139,0.19,0.207,0.269,0.206,0.482,0.679,0.736,0.47,0.307,0.249,0.548,0.708,0.744,0.492,0.557,0.523,0.535,0.545,1,0,0,0,0,0,1
0.098,0.109,0.155,0.182,0.259,0.261,0.304,0.393,0.35,0.215,0.351,0.297,0.342,0.385,0.477,0.545,0.432,0.625,0.513,0.342,0.313,0.459,0.612,0.558,0.578,0.326,0.498,0.669,0.86,0.711,0.197,0.257,0.023,0.166,0.334,0.386,0.638,0.788,0.777,0.683,1,0,0,0,0,0,1
0.12,0.093,0.212,0.347,0.413,0.414,0.436,0.407,0.357,0.324,0.24,0.386,0.593,0.481,0.497,0.615,0.356,0.162,0.153,0.255,0.357,0.294,0.425,0.473,0.285,0.214,0.251,0.593,0.769,0.725,0.595,0.476,0.23,0.087,0.196,0.401,0.75,0.707,0.679,0.709,1,0,0,0,0,0,1
0.248,0.278,0.264,0.554,0.758,0.494,0.412,0.42,0.341,0.171,0.237,0.237,0.361,0.455,0.475,0.437,0.496,0.559,0.208,0.047,0.111,0.199,0.269,0.25,0.308,0.109,0.178,0.318,0.357,0.169,0.268,0.355,0.304,0.296,0.527,0.538,0.695,0.625,0.648,0.644,1,0,0,0,0,0,1
0.249,0.24,0.125,0.071,0.332,0.663,0.451,0.416,0.425,0.473,0.579,0.462,0.264,0.244,0.291,0.362,0.519,0.845,0.85,0.737,0.371,0.463,0.696,0.509,0.375,0.33,0.293,0.283,0.448,0.44,0.34,0.189,0.152,0.165,0.108,0.357,0.767,0.795,0.685,0.603,1,0,0,0,0,0,1
0.536,0.527,0.469,0.509,0.599,0.482,0.374,0.326,0.277,0.412,0.598,0.15,0.142,0.276,0.452,0.582,0.463,0.474,0.334,0.312,0.187,0.275,0.419,0.336,0.35,0.224,0.202,0.236,0.413,0.408,0.5,0.579,0.579,0.409,0.196,0.273,0.63,0.589,0.586,0.588,1,0,0,0,0,0,1
0.266,0.227,0.264,0.451,0.641,0.674,0.457,0.235,0.311,0.411,0.313,0.128,0.1,0.166,0.34,0.445,0.355,0.292,0.368,0.371,0.304,0.436,0.746,0.885,0.841,0.49,0.358,0.431,0.54,0.383,0.288,0.446,0.463,0.478,0.302,0.309,0.604,0.563,0.546,0.525,1,0,0,0,0,0,1
